Particles,ll,Algorithm
1000,898.3552525951064,Bootstrap
1000,902.3643705724431,Bootstrap
1000,896.9392639567702,Bootstrap
1000,898.2705820250642,Bootstrap
1000,891.565469788479,Bootstrap
1000,896.4922683753075,Bootstrap
1000,894.7878102019173,Bootstrap
1000,899.7255028702026,Bootstrap
1000,900.4470112583485,Bootstrap
1000,894.9497987075432,Bootstrap
1000,894.4978537548515,Bootstrap
1000,897.1684616170938,Bootstrap
1000,893.3959591107049,Bootstrap
1000,897.7175376816703,Bootstrap
1000,902.3395609412202,Bootstrap
1000,897.7634879973523,Bootstrap
1000,897.7419037087826,Bootstrap
1000,893.752472779357,Bootstrap
1000,896.7591732278821,Bootstrap
1000,893.6996317904124,Bootstrap
1000,897.3928342539094,Bootstrap
1000,901.4680517236282,Bootstrap
1000,899.5189599146711,Bootstrap
1000,894.134593985731,Bootstrap
1000,897.5252753849372,Bootstrap
100,894.0073883902515,Twisted
100,900.8297102626912,Twisted
100,897.5794636061077,Twisted
100,896.1629256497667,Twisted
100,897.2471993049265,Twisted
100,903.2812486269149,Twisted
100,900.1942606266605,Twisted
100,898.3050204142197,Twisted
100,898.0484632367715,Twisted
100,896.5796963329948,Twisted
100,898.7655557049274,Twisted
100,897.3987058285537,Twisted
100,896.9400564908989,Twisted
100,896.127500244072,Twisted
100,899.7185889881084,Twisted
100,896.7582344102443,Twisted
100,896.0300228403898,Twisted
100,898.0322648026818,Twisted
100,896.7471816939875,Twisted
100,894.256151178082,Twisted
100,898.4025941710868,Twisted
100,895.593083242315,Twisted
100,898.9277812189905,Twisted
100,899.0667460624713,Twisted
100,901.8602725787574,Twisted
100,897.5742220418607,Twisted
100,896.3484437722475,Twisted
100,901.7531710963988,Twisted
100,895.093923226913,Twisted
100,894.580504949086,Twisted
100,898.9678691414014,Twisted
100,897.560061661591,Twisted
100,897.9738079124842,Twisted
100,894.3119849309496,Twisted
100,896.7778862025394,Twisted
100,890.9249256199299,Twisted
100,896.7410522861165,Twisted
100,897.1604940868907,Twisted
100,896.4234707457587,Twisted
100,898.4925773677313,Twisted
100,897.1886467043726,Twisted
100,900.1392634547319,Twisted
100,893.4062407504591,Twisted
100,897.8406862523567,Twisted
100,897.8995610108465,Twisted
100,896.9492547432731,Twisted
100,901.1931858312754,Twisted
100,897.2512228820887,Twisted
100,900.3380614444935,Twisted
100,893.6133254929714,Twisted
100,897.475846306306,Twisted
100,901.3428085080943,Twisted
100,893.8576759223474,Twisted
100,894.274301677746,Twisted
100,893.2908120035045,Twisted
100,894.0495135933357,Twisted
100,896.1968111455868,Twisted
100,895.9807361441448,Twisted
100,896.4838533714433,Twisted
100,900.4306577046873,Twisted
100,899.3146618968003,Twisted
100,893.7829678713242,Twisted
100,898.7130223159053,Twisted
100,897.9835714932065,Twisted
100,898.9785726451389,Twisted
100,895.8184077480471,Twisted
100,896.0686963639432,Twisted
100,897.6421946571465,Twisted
100,899.6983541361526,Twisted
100,895.8509937099193,Twisted
100,900.3270825436891,Twisted
100,898.8744072284168,Twisted
100,896.7725211904323,Twisted
100,897.8472351201923,Twisted
100,897.3816865570205,Twisted
100,897.4406457526144,Twisted
100,899.8000396994386,Twisted
100,897.5291664485339,Twisted
100,900.3930402253434,Twisted
100,894.2976609547097,Twisted
100,901.0388345671607,Twisted
100,893.6634515541816,Twisted
100,899.8284671374189,Twisted
100,895.9070269540771,Twisted
100,899.123666559055,Twisted
100,896.4278223243376,Twisted
100,893.1334771132093,Twisted
100,900.461793503478,Twisted
100,898.999551767274,Twisted
100,895.6017355099538,Twisted
100,901.8683978574179,Twisted
100,900.4406567456659,Twisted
100,898.5927303166254,Twisted
100,897.0310299248806,Twisted
100,897.7963424116488,Twisted
100,893.7838285046646,Twisted
100,902.7301560081135,Twisted
100,899.3627977943298,Twisted
100,895.400634312207,Twisted
100,900.8815055183127,Twisted
500,902.3277370879729,Twisted
500,900.902194031571,Twisted
500,899.1978400431869,Twisted
500,899.0394529550172,Twisted
500,900.8131845041121,Twisted
500,901.6919647413588,Twisted
500,901.2056276887641,Twisted
500,901.2777150044077,Twisted
500,899.0002893517677,Twisted
500,899.9527972938328,Twisted
